similarity_metric,collection,model,top_k,accuracy
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,10,0.4770992366412214
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,15,0.517175572519084
cosine,CLIP_ViT_bigG_14_laion2B_39B_b160k_CUHK,hf-hub:laion/CLIP-ViT-bigG-14-laion2B-39B-b160k,20,0.5419847328244275
cosine,ViT_B_32_CUHK,ViT-B-32,1,0.21246819338422393
cosine,ViT_B_32_CUHK,ViT-B-32,2,0.26145038167938933
cosine,ViT_B_32_CUHK,ViT-B-32,5,0.3231552162849873
cosine,ViT_B_32_CUHK,ViT-B-32,10,0.3842239185750636
cosine,ViT_B_32_CUHK,ViT-B-32,15,0.42048346055979646
cosine,ViT_B_32_CUHK,ViT-B-32,20,0.44720101781170485
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,1,0.5305343511450382
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,2,0.5986005089058524
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,5,0.6851145038167938
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,10,0.7430025445292621
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,15,0.7735368956743003
cosine,Apple_DFN5B_CLIP_ViT_H_14_384_CUHK,hf-hub:apple/DFN5B-CLIP-ViT-H-14-384,20,0.7977099236641222
cosine,ViT_B_32_CUHK,ViT-B-32,1,0.20419847328244276
cosine,ViT_B_32_CUHK,ViT-B-32,2,0.2544529262086514
cosine,ViT_B_32_CUHK,ViT-B-32,5,0.31234096692111957
cosine,ViT_B_32_CUHK,ViT-B-32,10,0.3651399491094148
cosine,ViT_B_32_CUHK,ViT-B-32,15,0.39631043256997456
cosine,ViT_B_32_CUHK,ViT-B-32,20,0.4287531806615776
